LMT1_x,LMT1_y,LMT1_z,RMT1_x,RMT1_y,RMT1_z,LMT5_x,LMT5_y,LMT5_z,RMT5_x,RMT5_y,RMT5_z,LHeel_x,LHeel_y,LHeel_z,RHeel_x,RHeel_y,RHeel_z
316.0194904,-971.1767163,22.32382516,-581.2391871,-492.1169184,-69.04282484,301.3540681,-970.0718823,-92.75162115,-544.5495637,-514.8172378,36.30808413,111.1374877,-917.7055276,-37.47084957,-445.655813,-341.17847,11.59352629
292.4825198,-970.3849251,21.93783011,-560.9814293,-479.0526641,-64.22399249,275.9353158,-967.722325,-92.85656965,-523.1627422,-501.0935304,40.86736826,86.37753754,-917.1784657,-33.74892881,-421.5272129,-329.6094779,12.50112263
267.5360389,-968.8001176,22.49304055,-539.6210593,-468.4923811,-59.396176,250.0513223,-963.4256983,-92.0672227,-500.4192587,-490.0735833,45.28294095,60.31807318,-916.9387008,-30.25460677,-396.5135988,-320.5698252,13.4506486
242.9045358,-965.9102819,22.2126645,-516.9305613,-460.6769992,-55.19917722,222.9651842,-959.7467784,-91.90607671,-476.959104,-481.5992269,49.32254287,34.11755513,-915.7122713,-25.73900474,-371.2068169,-313.822623,14.55661218
217.9196277,-962.8521509,21.6034252,-493.5188433,-455.7001394,-51.45605449,194.8469575,-956.4296363,-91.90893892,-453.0685891,-475.9676945,53.01044795,7.565391539,-913.9527025,-20.4815535,-345.8166413,-309.6688931,15.82263657
191.7692087,-960.1568051,21.80132467,-469.8095397,-453.8886684,-48.00035331,166.0199581,-954.9079645,-91.19460171,-429.2572838,-473.7043834,56.51327721,-19.66908931,-912.2921282,-15.80219891,-320.8326461,-308.5049515,17.85515254
165.1722029,-957.6845298,21.73493504,-445.7063861,-455.1770555,-44.7559282,136.7866934,-954.1658456,-90.69520026,-405.3241595,-474.3490582,59.94343701,-47.23100148,-910.9624843,-11.62874851,-296.5526196,-309.6128712,20.29566557
137.8513332,-955.8931805,21.57440404,-421.4129653,-459.4855112,-41.56296697,107.4850007,-953.9590374,-90.37557833,-381.5750367,-477.6868951,63.51745963,-75.1614225,-909.835097,-8.681587025,-273.2832771,-312.7809769,23.26652292
110.2107722,-954.2595007,21.2573436,-397.3228859,-466.7663142,-38.3278491,78.49298901,-954.7491544,-90.332961,-358.2682679,-483.7345514,67.25180202,-103.2193964,-909.1168268,-7.394152878,-251.6046103,-317.8113956,26.83428743
82.09864008,-953.6192323,20.34659048,-373.6624287,-476.7847058,-34.93989245,49.54411557,-954.6280234,-90.99899267,-335.5574223,-491.9867602,71.25404813,-131.5265804,-908.5395765,-6.916864017,-231.5147818,-324.5067271,30.42792338
53.79249513,-952.9198275,20.09898974,-349.6577895,-489.5630033,-31.55196809,21.17173693,-956.9337188,-91.15939612,-313.2273816,-502.6676279,75.50568546,-159.6323764,-907.6198693,-8.342953903,-213.8181801,-332.2510164,35.29133322
25.04487942,-952.8096078,19.69753401,-326.3719393,-504.5704518,-28.05234254,-7.548490105,-958.6769547,-91.48654811,-291.522054,-515.2671544,79.79622274,-188.08771,-906.7480659,-9.697020452,-198.1887726,-341.3900988,39.83532817
-4.362503119,-955.3859094,19.39792284,-303.9589003,-521.8117955,-23.78544486,-36.94889118,-960.7625624,-91.81301425,-269.3321955,-530.0315239,84.35184918,-216.4870132,-905.0632668,-10.30106754,-184.2873615,-352.1173937,43.66839467
-33.54184387,-954.0641972,20.23952611,-280.5244344,-540.2726243,-21.02968735,-66.17115829,-963.0220067,-90.72776232,-248.7466581,-545.9960858,88.13835704,-245.4755263,-903.937175,-11.10695773,-172.822672,-363.6909215,48.87539305
-63.94746924,-956.5981276,21.7277689,-258.2041805,-560.7920934,-17.07052872,-96.4033393,-965.080046,-89.32774502,-226.7179072,-564.0399067,92.28354432,-274.4668425,-901.3423537,-10.5150453,-162.2818311,-377.4542451,52.59742617
-94.63675507,-958.8060215,23.9555043,-235.4513343,-582.3186039,-13.46249126,-126.8762319,-967.1137609,-87.1761798,-204.4887404,-583.1851536,96.08573492,-303.4383946,-898.0290639,-9.499583559,-153.1249969,-392.575925,56.44872147
-124.5367804,-960.613312,26.18786946,-210.8400431,-603.9215992,-11.04835852,-157.4688833,-970.0926118,-84.64657052,-181.4330333,-602.4727311,98.9215262,-331.0962711,-892.9451477,-7.95012211,-145.4269072,-408.1893344,60.20814861
-155.4683635,-963.6287454,29.34831861,-186.676388,-626.4407641,-8.190365435,-188.36896,-972.68354,-81.53096286,-157.1884445,-622.5219739,101.6975377,-358.5010506,-886.7343492,-6.375426855,-137.8410174,-425.8868284,62.94832387
-186.3061022,-966.9940505,32.69399014,-162.0540007,-649.068837,-5.686669399,-219.0930261,-975.1970485,-78.28520638,-132.0452712,-642.4580164,103.9309395,-384.591955,-879.3183433,-4.814636504,-130.2763426,-444.9320297,64.92375478
-217.2346109,-971.1080288,35.99882763,-136.7656879,-671.5222565,-3.63357439,-249.8740404,-977.9570685,-75.11558146,-106.000919,-661.9349569,105.5536944,-408.8628023,-870.4288457,-3.416201174,-122.6954541,-465.1638838,66.26448131
-247.6833357,-975.3857274,39.06717093,-111.2874832,-693.6942266,-1.831682112,-279.9664717,-980.3373943,-72.25189185,-79.15708342,-680.5883976,106.5939682,-430.8493572,-860.6935426,-2.250107144,-114.232027,-486.391693,66.61155647
-277.8798265,-979.7908941,41.74455961,-85.40567236,-715.396156,-0.512134807,-309.8235253,-982.7460566,-69.74320086,-51.87820423,-698.2797543,106.927079,-450.2060418,-850.0100052,-1.519774079,-105.2518318,-508.455961,66.1914883
-307.0408828,-983.5388909,43.89076892,-58.95068111,-736.2970532,0.393709613,-339.1140311,-984.8675187,-67.59107499,-24.33934801,-714.977683,106.7317887,-466.4738458,-838.7568879,-1.170390124,-95.25679516,-531.0938977,65.51681392
-335.4848885,-986.6266889,45.6478634,-32.16853488,-756.6602071,1.130941002,-367.9372781,-986.215974,-65.73134171,3.305478678,-730.6112759,106.1228194,-479.7389423,-827.1772412,-1.019552925,-84.31517978,-554.244512,64.18727641
-362.6632746,-988.1892915,47.31670232,-4.672864097,-776.0278908,1.539774453,-396.0297599,-986.3973507,-63.77839309,30.66805932,-745.446326,105.3474525,-490.4108632,-815.6998185,-1.047969234,-72.31201485,-577.7145446,62.89325581
-388.9286459,-988.1007703,49.14843427,23.49932269,-794.5863877,1.815107208,-423.2778062,-984.911236,-61.61534895,57.8863504,-759.4773039,104.5045981,-499.0147895,-804.3704403,-1.204450276,-59.28958191,-601.5298116,61.33521615
-414.6851504,-986.2209845,51.4852419,51.66857557,-812.6652638,2.257530697,-448.4852291,-980.8425269,-59.36276433,84.72755976,-772.8801919,103.6700477,-506.8972147,-793.4023776,-0.75579717,-45.05230302,-625.4480452,59.37383651
-438.557243,-981.2882631,55.03087737,80.93136536,-829.0842923,2.233714313,-472.0961195,-974.8893297,-55.84225295,111.0971178,-785.7816001,103.1056689,-514.7682931,-782.3904782,-0.130279065,-29.81525661,-649.3016016,57.73918681
-460.7119165,-973.4686461,59.6539102,110.5928789,-844.2132696,1.941987433,-493.0129285,-966.4861546,-51.55104944,137.0113447,-797.9788479,102.5635055,-524.4889628,-771.0899741,1.459686757,-13.66179198,-672.9195403,55.67021757
-481.121414,-962.5601844,65.69459672,140.631036,-858.0056685,1.400274318,-511.7002489,-956.0009933,-46.02185455,162.6056531,-809.6868898,102.1110424,-536.0390727,-758.7241565,3.677416528,3.542135285,-696.2420212,53.4256849
